index,symbol,cluster,d0,d7,d12,d19,d26,d33,d49,d63,d77
0,AADAT,1,2.3200237983,0.589660044901,0.0414666065062,-0.404375629622,0.277518762827,-0.788775537927,-0.706270029966,-0.557151995807,-0.77209601921
1,ACTB,1,2.56456966035,0.150105171121,-0.0621022613326,-0.207407320192,-0.747372953481,-0.34895873069,-0.274348585244,-0.639006303233,-0.435478677297
2,ADAR,1,2.55595453044,0.276191431736,0.0313587885916,-0.554032282548,-0.470156654935,-0.455675772717,-0.468883875658,-0.546682024519,-0.368074140392
3,ADCY2,1,1.26582149858,-1.61489463009,1.12273863776,0.430228259098,0.838268930721,-0.0421904179918,-0.231915001411,-0.991033772654,-0.777023504018
4,AHSG,1,2.14615702149,-0.100883124808,0.545677197408,-0.472450152258,0.552818021937,-0.675108852526,0.0371675541054,-1.14472469465,-0.8886529707
5,AMY1A,1,2.43542267988,-0.523614344744,-0.670739511728,0.21380947594,-0.0468058416465,-0.670739511728,0.410970819931,-0.670739511728,-0.477564254177
6,ARC,1,2.62083767837,-0.349352672159,0.101332239245,-0.358635474922,-0.546528991037,-0.375858599757,-0.498202744859,-0.242344125704,-0.351247309178
7,ARSE,1,2.43428437073,-0.953329189383,-0.673591117779,-0.0662551912885,0.457266680618,-0.111307488222,-0.129315947579,-0.406560889255,-0.551191227843
8,ATP12A,1,2.03688671186,-0.702905165666,-1.06743299694,0.708530858777,-0.382766794777,0.829643062984,-0.530636513733,-0.127878520792,-0.763440641715
9,ATP5G3,1,2.34136322417,-0.354772763392,0.677905880363,0.124881023328,-0.182074345541,-0.336751881471,-0.624461860326,-0.709703516031,-0.9363857611
10,CACNA1B,1,2.37777349262,-0.0905315441978,-0.898056274477,-0.149780277348,-0.864510503555,0.381531113411,-0.7846187153,0.00739898155907,0.0207937272862
11,CASP3,1,2.62595926193,-0.637561802939,-0.292300377629,-0.0238287832144,-0.521711466581,-0.341646912198,-0.29205133941,-0.213292094691,-0.303566485264
12,CBS,1,2.6600082407,-0.205052509652,-0.305799343921,-0.3807589696,-0.251341878866,-0.42523711141,-0.383459207357,-0.384939154066,-0.323420065829
13,CLC,1,2.57995476772,-0.302708971342,-0.185781041403,-0.669713740298,-0.593162323662,-0.322178846466,0.196328420498,-0.469824717679,-0.232913547366
14,CLDN11,1,2.44969203998,-0.753454783814,-0.433310453568,-0.0196496045328,0.5648495807,-0.176274062132,-0.484971235224,-0.564020473851,-0.582861007564
15,CMKLR1,1,2.49576666607,0.246568095208,-0.472448527783,-0.55360018913,-0.659945462935,-0.50993866595,-0.451987034638,-0.418931343818,0.324516462975
16,COX5A,1,2.50544678129,-0.431198989994,0.0766419688518,-0.203355333614,-0.234611791553,-0.111166075526,-0.524055394951,-0.00648701851272,-1.07121414599
17,CTSC,1,2.64529746204,-0.237432010621,-0.374038825716,-0.500521222185,-0.435508032025,-0.435573823491,-0.140875187344,-0.159527840803,-0.361820519854
18,CYCS,1,2.57705013997,-0.182876572163,0.184247464502,-0.519075526577,-0.518429352185,-0.0647913923704,-0.431805774034,-0.429267116887,-0.615051870255
19,CYTH4,1,2.39466290008,-0.356350506516,-0.178566307245,-0.527904306514,-0.753115875412,-0.365978160703,0.786239951117,-0.569315136143,-0.429672558666
20,DAPK1,1,2.48414717683,-0.598785324389,-0.535084788266,-0.514965049943,-0.537149255012,-0.630686337948,-0.241124211009,0.216138506187,0.357509283551
