"","DayNeg8","DayNeg4","Day0","DayPos1","DayPos7","DayPos16","DayPos21","DayPos28"
"A1BG",-0.5400617249,1.6201851746,1.6201851746,-0.5400617249,-0.5400617249,-0.5400617249,-0.5400617249,-0.5400617249
"A4GALT",0.7795520673,-0.0157963304,1.826260198,0.6470474765,-0.6928331482,-0.8432186679,-0.8645874538,-0.8364241414
"AAAS",2.027808973,0.9733778377,0.0627154659,-0.4784678954,-0.4818573552,-0.7089401214,-0.7109739135,-0.6836629911
"AADAT",0.0539597453,-1.4558498762,0.6281126999,-0.7753723003,1.9295260637,0.0539597453,-0.0417324138,-0.3926036639
"AAMP",-0.5823608946,-1.823234781,0.5979788869,1.4944682998,0.1356617844,-0.5637331741,0.1110393247,0.6301805539
"AANAT",-0.4472861966,-0.6475635981,-0.1134905275,-0.0467313937,2.3966529042,-0.0467313937,-0.6475635981,-0.4472861966
"AARS",-0.3486313618,-0.4227191704,-1.7558871589,-0.5483554001,0.1470284378,0.7608234626,1.5116033853,0.6561378056
"AASDHPPT",2.0519389259,0.2803021873,-0.8874029569,-1.318620546,-0.1598417788,-0.3064018435,0.2312210435,0.1088049684
"AASS",0.6829446703,1.9321741915,0.6465088092,-0.2188428903,-0.6412386222,-0.8005153861,-0.8200345974,-0.7809961749
"AATF",1.899496818,-0.2747149214,0.8794400276,-0.3268019194,0.4165759959,-0.7624706781,-0.8705426749,-0.9609826478
"AATK",-0.9697062031,-0.9801009787,-0.8867196077,-0.7729275212,0.3513593617,0.9036512412,1.1345499564,1.2198937515
"ABAT",-1.0062899056,-1.0102797546,-0.8546618172,-0.5044193351,-0.0520354518,1.0153060713,1.3449102313,1.0674699616
"ABCA1",-0.4390885851,-0.6313049165,1.8835847055,1.2690752164,-0.1865789867,-0.5267597969,-0.7061782146,-0.662749422
"ABCA12",-1.3456307744,-0.7457863867,0.5472926811,1.9175226946,0.5428423134,-0.164709964,-0.5377092188,-0.2138213452
