index,symbol
1,CCNE1
2,CHRAC1
3,EIF4EBP1
4,FOXO1
5,ITGB5
6,KAT2A
7,MCM5
8,MYBL2
9,MYC
10,NEDD4
11,PKMYT1
12,PRKCH
13,RCC1
14,SDC1
15,SKA3
16,SLC3A2
17,TNFAIP2
18,TTF2
19,AURKA
20,AURKB
21,BIRC5
22,BRCA1
23,CASC5
24,CCNB1
25,CCNB2
26,CDC20
27,CDK1
28,CDK2
29,CENPF
30,CENPH
31,CENPI
32,CENPK
33,CENPM
34,CENPN
35,CENPO
36,CLSPN
37,DNA2
38,DTL
39,E2F1
40,E2F2
41,FANCD2
42,GINS2
43,GINS4
44,GJA1
45,GMNN
46,GTSE1
47,IQGAP3
48,KIF4A
49,MCM2
50,MCM3
51,MCM4
52,MCM6
53,MED11
54,MKI67
55,PCNA
56,POLD1
57,RAD51
58,RBM14
59,RFC3
60,RFC4
61,RRM1
62,SGOL2
63,SMC2
64,SNRPA
65,SPC24
66,SPC25
67,TIMELESS
68,UBE2C
69,XRCC2
70,BCL6
71,EGR1
72,FOS
73,FZD2
74,GPC3
75,SFRP2
76,TSPYL2
77,BIRC3
78,CRY2
79,FGF8
80,GRIN2B
81,LIN37
82,LIN7B
83,NOG
84,NR1D2
85,PER2
86,SDC4
87,SOX9
88,TNFAIP3
89,ATXN1
90,CBX4
91,CEBPD
92,CPEB1
93,NR1D1
94,PPARGC1A
95,TRIB3
96,VEGFA
